C:\Users\pedri\Desktop\uni\Cuarto\2 cuatri\OT\ProyectoAscensor\Compartido\OficinaTecnica\fambrica.dwg,Urbanizacion exterior,15/05/2025 22:55:59,pedri,DWG To PDF.pc3,ISO full bleed A3 (297.00 x 420.00 MM),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,Replanteo_2ºPiso,18/05/2025 22:19:17,escri,DWG To PDF.pc3,ISO full bleed A3 (297.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,Acabados_1ºPiso,18/05/2025 22:22:05,escri,DWG To PDF.pc3,ISO full bleed A3 (297.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,Acabados_2ºPiso,18/05/2025 22:24:41,escri,DWG To PDF.pc3,ISO full bleed A3 (297.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,PreIncendios_1ºPiso,18/05/2025 22:28:20,escri,DWG To PDF.pc3,ISO full bleed A3 (297.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,PreIncendios_2ºPiso,18/05/2025 22:29:35,escri,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,Evacuación_1ºPiso,18/05/2025 22:31:32,escri,DWG To PDF.pc3,ISO full bleed A3 (297.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\fambrica.dwg,Evacuación_2ºPiso,18/05/2025 22:32:33,escri,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Cortes.dwg,A2_PDF-Funda,18/05/2025 22:54:50,escri,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Cortes.dwg,A2_PDF-Funda,18/05/2025 22:55:57,escri,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Fachadas.dwg,A2_PDF-Funda,18/05/2025 22:58:06,escri,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Escaleras.dwg,A4_PDF,18/05/2025 22:59:35,escri,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Escaleras.dwg,A4_PDF,18/05/2025 23:03:00,escri,DWG To PDF.pc3,ISO full bleed A4 (210.00 x 297.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Cortes.dwg,A2_PDF-Funda,18/05/2025 23:06:57,escri,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
C:\Users\escri\OneDrive\Escritorio\Cuarto\Oficina Tecnica\Git\Planos\Fachadas.dwg,A2_PDF-Funda,18/05/2025 23:13:24,escri,DWG To PDF.pc3,ISO full bleed A2 (594.00 x 420.00 mm),1:1,
